year,month,day,duty cycle [day],tds_fit [/day],svm_fit [/day],cnn_fit [/day]
2021,3,3,0.06211959584398973,200.228298808538,204.5448379896967,192.55292859303432
2021,3,4,0.04479277732741684,192.970047717558,199.65801563723457,187.7094907589704
2021,3,5,0.062142021168556105,186.0713851713301,195.01329641900645,183.1060067017209
2021,3,6,0.06211959584398973,179.52266112221696,190.604183168146,178.73603693534892
2021,3,7,0.06202700095545761,173.3142255225814,186.4241787177868,174.59314197391762
2021,3,8,0.06221219073252185,167.4364283247862,182.4667859010626,170.67088233149013
2021,3,9,0.06172534417016157,161.87961948119388,178.72550755110683,166.96281852212937
2021,3,10,0.06213117020505624,156.63414894416732,175.19384650105326,163.46251105989856
2021,3,11,0.06211959584398973,151.69036666606917,171.8653055840354,160.16352045886077
2021,3,12,0.0620964471218567,147.03862259926214,168.73338763318696,157.05940723307904
2021,3,13,0.06214274456612276,142.66926669610896,165.79159548164148,154.14373189661652
2021,3,14,nan,138.56866542641092,163.03074997049652,151.4073967818465
2021,3,15,nan,134.7094133127007,160.43239958874918,148.83211418767388
2021,3,16,nan,131.07736610075636,157.98702131813732,146.40844563984712
2021,3,17,nan,127.6594948232055,155.68584303874013,144.1276968960867
2021,3,18,nan,124.44317384245218,153.5203641837897,141.98144285645537
2021,3,19,nan,121.41641173306101,151.4825111877505,139.96168163139185
2021,3,20,nan,118.56781251221892,149.56461138363423,138.06080867076122
2021,3,21,nan,115.88659250228005,147.75940435618364,136.27162801624712
2021,3,22,nan,113.36258072888893,146.06004220992037,134.58735256701976
2021,3,23,nan,110.98617755007976,144.46006171501872,133.00157647289458
2021,3,24,nan,108.74837887193308,142.9534006111796,131.50829129346295
2021,3,25,nan,106.64073316559421,141.53436866812552,130.10185731550783
2021,3,26,nan,104.65531932058991,140.19763277472111,128.77698877450095
2021,3,27,0.06213117020505624,102.78472418150787,138.9382018149086,127.52873886480779
2021,3,28,0.06203785191895747,101.02201618497611,137.75140891806046,126.3524821476189
2021,3,29,0.06213117020505624,99.36072422405041,136.63289722883187,125.24390044713553
2021,3,30,0.06184181117839337,97.7947960283519,135.5785918854138,124.19895507759615
2021,3,31,0.06213117020505624,96.31859010497058,134.5846945935191,123.21388146543362
2021,4,1,0.06213117020505624,94.92684455305212,133.64766262992293,122.28516833921935
2021,4,2,0.06213117020505624,93.61465986456756,132.76419726259587,121.40954625260078
2021,4,3,0.06213117020505624,92.37746468926136,131.9312207009889,120.58396473921856
2021,4,4,0.062038575316524125,91.21099819014526,131.14586421637196,119.80558053851102
2021,4,5,0.06213117020505624,90.11129044422256,130.40545494606863,119.07174451709886
2021,4,6,0.062385806148519574,89.0746414209778,129.7075017401309,118.3799876411114
2021,4,7,0.06235108306532003,88.09760437409406,129.04968397934437,117.72800989346365
2021,4,8,0.06211959584398973,87.17696752185412,128.4298392410413,117.11366804917091
2021,4,9,0.0620964471218567,86.30973803630266,127.8459525193524,116.53496499130128
2021,4,10,0.06213117020505624,85.4931270136423,127.29614610610184,115.99003968170678
2021,4,11,0.0620154265943911,84.72453529382597,126.77867004344765,115.47715769842395
2021,4,12,0.062108021482923215,84.0015408926848,126.29189366220723,114.99470284912074
2021,4,13,0.06174921628986125,83.32188504291017,125.83429618355456,114.54116785623076
2021,4,14,0.06210729808535656,82.68346320686156,125.40446066813965,114.1151483597913
2021,4,15,0.06210729808535656,82.08431316978269,125.00106599951016,113.7153349720353
2021,4,16,0.062108021482923215,81.52260547455134,124.62288044403692,113.34050689449063
2021,4,17,0.062108021482923215,80.99663447023835,124.26875562410365,112.98952594467534
